continent;name;code
Africa;Algeria;DZA
Africa;Angola;AGO
Africa;Benin;BEN
Africa;Botswana;BWA
Africa;BurkinaFaso;BFA
Africa;Burundi;BDI
Africa;Cameroon;CMR
Africa;CapeVerde;CPV
Africa;CentralAfricanRepublic;CAF
Africa;Chad;TCD
Africa;Comoros;COM
Africa;Congo;COG
Africa;Congo(theDemocraticRepublic);COD
Africa;Côted'Ivoire;CIV
Africa;Djibouti;DJI
Africa;Egypt;EGY
Africa;EquatorialGuinea;GNQ
Africa;Eritrea;ERI
Africa;Ethiopia;ETH
Africa;Gabon;GAB
Africa;Gambia;GMB
Africa;Ghana;GHA
Africa;Guinea;GIN
Africa;Guinea-Bissau;GNB
Africa;Kenya;KEN
Africa;Lesotho;LSO
Africa;Liberia;LBR
Africa;LibyanArabJamahiriya;LBY
Africa;Madagascar;MDG
Africa;Malawi;MWI
Africa;Mali;MLI
Africa;Mauritania;MRT
Africa;Mauritius;MUS
Africa;Mayotte;MYT
Africa;Morocco;MAR
Africa;Mozambique;MOZ
Africa;Namibia;NAM
Africa;Niger;NER
Africa;Nigeria;NGA
Africa;Réunion;REU
Africa;Rwanda;RWA
Africa;SaintHelena;SHN
Africa;SaoTomeandPrincipe;STP
Africa;Senegal;SEN
Africa;Seychelles;SYC
Africa;SierraLeone;SLE
Africa;Somalia;SOM
Africa;SouthAfrica;ZAF
Africa;SouthSudan;SSD
Africa;Sudan;SDN
Africa;Swaziland;SWZ
Africa;Tanzania-UnitedRepublicof;TZA
Africa;Togo;TGO
Africa;Tunisia;TUN
Africa;Uganda;UGA
Africa;WesternSahara;ESH
Africa;Zambia;ZMB
Africa;Zimbabwe;ZWE
Antarctica North;Antarctica;ATA
Antarctica North;BouvetIsland;BVT
Antarctica North;FrenchSouthernTerritories;ATF
Antarctica North;HeardIslandandMcDonaldIslands;HMD
Antarctica North;SouthGeorgiaandtheSouthSandwichIslands;SGS
Asia;Afghanistan;AFG
Asia;Armenia;ARM
Asia;Azerbaijan;AZE
Asia;Bahrain;BHR
Asia;Bangladesh;BGD
Asia;Bhutan;BTN
Asia;BritishIndianOceanTerritory;IOT
Asia;BruneiDarussalam;BRN
Asia;Cambodia;KHM
Asia;China;CHN
Asia;ChristmasIsland;CXR
Asia;Cocos(Keeling)Islands;CCK
Asia;Cyprus;CYP
Asia;Georgia;GEO
Asia;HongKong;HKG
Asia;India;IND
Asia;Indonesia;IDN
Asia;Iran-IslamicRepublicof;IRN
Asia;Iraq;IRQ
Asia;Israel;ISR
Asia;Japan;JPN
Asia;Jordan;JOR
Asia;Kazakhstan;KAZ
Asia;Korea-DemocraticPeople'sRepublicof;PRK
Asia;Korea-Republicof;KOR
Asia;Kuwait;KWT
Asia;Kyrgyzstan;KGZ
Asia;LaoPeople'sDemocraticRepublic;LAO
Asia;Lebanon;LBN
Asia;Macao;MAC
Asia;Malaysia;MYS
Asia;Maldives;MDV
Asia;Mongolia;MNG
Asia;Myanmar;MMR
Asia;Nepal;NPL
Asia;Oman;OMN
Asia;Pakistan;PAK
Asia;PalestinianTerritory-Occupied;PSE
Asia;Philippines;PHL
Asia;Qatar;QAT
Asia;SaudiArabia;SAU
Asia;Singapore;SGP
Asia;SriLanka;LKA
Asia;SyrianArabRepublic;SYR
Asia;Taiwan-ProvinceofChina;TWN
Asia;Tajikistan;TJK
Asia;Thailand;THA
Asia;Timor-Leste;TLS
Asia;Turkmenistan;TKM
Asia;UnitedArabEmirates;ARE
Asia;Uzbekistan;UZB
Asia;Vietnam;VNM
